suburb,period,total_score,price_growth_pct,period_median_price,estimated_yield_pct,estimated_monthly_rent,period_transactions,activity_change_pct,avg_distance_to_road_m,reliability,price_growth_score,affordability_score,yield_score,accessibility_score,liquidity_score
WILLOUGHBY,3-Year,69.53205683170762,34.916748285994125,2755000.0,3.8,8724.166666666666,38,-49.333333333333336,1167.7866116530154,HIGH,35,4.668750000000001,15.833333333333332,11.496640165040954,2.533333333333333
WILLOUGHBY EAST,3-Year,65.61734394780156,28.695652173913043,3700000.0,3.2,9866.666666666666,5,-44.44444444444444,539.5890544365153,LOW,35,1.125,13.333333333333334,13.381232836690454,2.7777777777777777
CASTLECRAG,3-Year,64.85939224586875,19.126984126984127,3752500.0,3.2,10006.666666666666,12,-42.857142857142854,753.0696482024814,MODERATE,35,0.9281249999999996,13.333333333333334,12.740791055392556,2.857142857142857
MIDDLE COVE,3-Year,38.882977939807496,-26.82926829268293,2700000.0,3.8,8550.0,9,12.5,816.7851311752784,LOW,0,4.875,15.833333333333332,12.549644606474164,5.625
NORTH WILLOUGHBY,3-Year,36.73656619794556,-17.101423220973782,1660044.0,3.8,5256.806,20,-64.28571428571429,1552.43880703402,HIGH,0,8.774835,15.833333333333332,10.34268357889794,1.7857142857142856
NORTHBRIDGE,3-Year,34.04024712376859,-1.0577814569536426,2988055.0,3.8,9462.174166666666,32,-52.23880597014925,991.9798870190936,HIGH,0,3.79479375,15.833333333333332,12.02406033894272,2.3880597014925375
ROSEVILLE,3-Year,31.917212495643533,-24.20814479638009,1675000.0,3.8,5304.166666666667,73,-35.96491228070175,3612.2084078849034,VERY HIGH,0,8.71875,15.833333333333332,4.163374776345291,3.2017543859649122
ROSEVILLE CHASE,3-Year,28.06334439883237,-14.925373134328357,2850000.0,3.8,9025.0,3,-70.0,2860.829644833654,VERY LOW,0,4.3125,15.833333333333332,6.417511065499038,1.5
CASTLE COVE,3-Year,26.861849402815825,-11.585365853658537,3625000.0,3.2,9666.666666666666,13,-43.47826086956522,1901.2736290130833,MODERATE,0,1.40625,13.333333333333334,9.29617911296075,2.8260869565217392
