suburb,period,total_score,price_growth_pct,period_median_price,estimated_yield_pct,estimated_monthly_rent,period_transactions,activity_change_pct,avg_distance_to_road_m,reliability,price_growth_score,affordability_score,yield_score,accessibility_score,liquidity_score
ROSEVILLE,1-Year,71.46545810967862,337.5,2275000.0,3.8,7204.166666666667,24,242.85714285714283,3612.2084078849034,HIGH,35.0,6.46875,15.833333333333332,4.163374776345291,10
MIDDLE COVE,1-Year,59.655244868137636,0.0,2700000.0,3.8,8550.0,1,100.0,517.6961550652301,VERY LOW,17.5,4.875,15.833333333333332,13.44691153480431,8
WILLOUGHBY EAST,1-Year,53.33956617002379,0.0,3700000.0,3.2,9866.666666666666,1,100.0,539.5890544365153,VERY LOW,17.5,1.125,13.333333333333334,13.381232836690454,8
WILLOUGHBY,1-Year,52.524375625284065,2.684563758389262,2295000.0,3.8,7267.5,6,200.0,1366.2269541372275,LOW,9.395973154362416,6.393750000000001,15.833333333333332,10.901319137588317,10
NORTHBRIDGE,1-Year,35.31460797249255,-7.328605200945626,4900000.0,3.2,13066.666666666666,5,150.0,1006.2417869469282,LOW,0.0,0.0,13.333333333333334,11.981274639159215,10
NORTH WILLOUGHBY,1-Year,35.17357086968635,-6.976744186046512,3600000.0,3.2,9600.0,8,300.0,1553.254154548995,LOW,0.0,1.5,13.333333333333334,10.340237536353015,10
CASTLE COVE,1-Year,33.15371400542221,-57.245575221238944,3865000.0,3.2,10306.666666666666,6,500.0,1895.2897759703742,LOW,0.0,0.5062499999999996,13.333333333333334,9.314130672088877,10
