suburb,period,total_score,price_growth_pct,period_median_price,estimated_yield_pct,estimated_monthly_rent,period_transactions,activity_change_pct,avg_distance_to_road_m,reliability,price_growth_score,affordability_score,yield_score,accessibility_score,liquidity_score
WILLOUGHBY,5-Year,72.1360757868961,54.861111111111114,2230000.0,3.8,7061.666666666667,105,-36.36363636363637,1172.191909418472,VERY HIGH,35,6.637499999999999,15.833333333333332,11.483424271744584,3.1818181818181817
NORTH WILLOUGHBY,5-Year,71.32063207026339,14.098837209302326,1962500.0,3.8,6214.583333333333,66,-51.11111111111111,1532.5902358381281,VERY HIGH,35,7.640625,15.833333333333332,10.402229292485615,2.4444444444444446
MIDDLE COVE,5-Year,66.32384082391737,71.5649334338106,3415000.0,3.2,9106.666666666666,16,-33.33333333333333,845.5252809164358,MODERATE,35,2.1937499999999996,13.333333333333334,12.463424157250692,3.333333333333334
CASTLECRAG,5-Year,66.31095967252877,30.37037037037037,3520000.0,3.2,9386.666666666666,27,-51.78571428571429,411.02931550628597,HIGH,35,1.8000000000000007,13.333333333333334,13.766912053481143,2.4107142857142856
NORTHBRIDGE,5-Year,65.59023197077272,39.32603147596767,3275555.0,3.2,8734.813333333334,88,-45.3416149068323,1064.2297890730001,VERY HIGH,35,2.7166687499999984,13.333333333333334,11.807310632781,2.732919254658385
ROSEVILLE,5-Year,64.80063381477274,59.4896331738437,2000000.0,3.8,6333.333333333333,163,-49.53560371517028,3685.3064442673613,VERY HIGH,35,7.5,15.833333333333332,3.944080667197916,2.523219814241486
WILLOUGHBY EAST,5-Year,64.26664950335712,42.71844660194174,3675000.0,3.2,9800.0,12,-73.33333333333333,539.5890544365153,MODERATE,35,1.21875,13.333333333333334,13.381232836690454,1.3333333333333335
CASTLE COVE,5-Year,62.71531117367422,44.54545454545455,3975000.0,3.2,10600.0,35,6.0606060606060606,2004.9341542298057,HIGH,35,0.09375,13.333333333333334,8.985197537310583,5.303030303030303
ROSEVILLE CHASE,5-Year,58.78240867879586,52.77777777777778,3300000.0,3.2,8800.0,11,-66.66666666666666,2947.5304404013796,MODERATE,35,2.625,13.333333333333334,6.157408678795861,1.6666666666666674
